ORI,Incident Number,Incident Date,Offense Code,Offense Type,Attempted or Completed,Number of Crimes,Number of Victims,Number of Stolen Vehicles,Number of Recovered Vehicles,Location Type,Method of Entry,Number of Premises Entered,Incident Month,Day of Week,Hour of Day,County,Agency Name,Incident Clearance,Exceptional Clearance Date,Number of Offenses in Incident,Number of Victims in Incident,Number of Offenders in Incident,Number of Arrestees in Incident
MA0130100,192092484,2019-11-15,220,Burglary/Breaking & Entering,Completed,1,3,0,0,Residence/Home,Forced Entry,0,November,Friday,8:00am-8:59am,Suffolk County,Boston,Not Cleared,,1,3,1,0
MA0130100,192093419,2019-10-30,23F,Theft From Motor Vehicle,Completed,1,1,0,0,Residence/Home,Missing,0,October,Wednesday,12:00am-12:59am,Suffolk County,Boston,Not Cleared,,1,1,1,0
MA0130100,192081426,2019-10-04,26C,Impersonation,Completed,1,1,0,0,Residence/Home,Missing,0,October,Friday,3:00pm-3:59pm,Suffolk County,Boston,Not Cleared,,2,1,2,0
MA0130100,192091264,2019-11-10,23D,Theft From Building,Completed,1,1,0,0,Department/Discount Store,Missing,0,November,Sunday,8:00pm-8:59pm,Suffolk County,Boston,Not Cleared,,1,1,1,0
MA0130100,192083612,2019-10-15,120,Robbery,Completed,1,1,0,0,Highway/Road/Alley/Street/Sidewalk,Missing,0,October,Tuesday,9:00pm-9:59pm,Suffolk County,Boston,Not Cleared,,1,1,2,0
MA0130100,192103097,2019-12-18,23H,All Other Larceny,Completed,1,1,0,0,Residence/Home,Missing,0,December,Wednesday,6:00pm-6:59pm,Suffolk County,Boston,Not Cleared,,1,1,1,0
MA0130100,192084911,2019-10-20,23H,All Other Larceny,Completed,1,1,0,0,Commercial/Office Building,Missing,0,October,Sunday,2:00am-2:59am,Suffolk County,Boston,Not Cleared,,1,1,1,0
MA0130100,202014197,2019-11-03,13C,Intimidation,Completed,1,1,0,0,Residence/Home,Missing,0,November,Sunday,12:00n-12:59pm,Suffolk County,Boston,Not Cleared,,1,1,1,0
MA0130100,192082137,2019-10-08,26C,Impersonation,Completed,1,1,0,0,Residence/Home,Missing,0,October,Tuesday,3:00pm-3:59pm,Suffolk County,Boston,Not Cleared,,1,1,1,0
MA0130100,192081595,2019-10-08,520,Weapon Law Violations,Completed,1,1,0,0,Highway/Road/Alley/Street/Sidewalk,Missing,0,October,Tuesday,8:00pm-8:59pm,Suffolk County,Boston,Not Cleared,,1,1,1,0
MA0130100,192104577,2019-12-27,23H,All Other Larceny,Completed,1,1,0,0,Residence/Home,Missing,0,December,Friday,3:00am-3:59am,Suffolk County,Boston,Not Cleared,,1,1,1,0
MA0130100,192101595,2019-12-17,13B,Simple Assault,Completed,1,1,0,0,Residence/Home,Missing,0,December,Tuesday,9:00pm-9:59pm,Suffolk County,Boston,Not Cleared,,1,1,1,0
MA0130100,192096352,2019-11-28,13A,Aggravated Assault,Completed,1,1,0,0,Residence/Home,Missing,0,November,Thursday,9:00pm-9:59pm,Suffolk County,Boston,Cleared by Arrest,,1,1,1,1
MA0130100,192097342,2019-12-03,13B,Simple Assault,Completed,1,1,0,0,Residence/Home,Missing,0,December,Tuesday,2:00am-2:59am,Suffolk County,Boston,Cleared by Arrest,,1,1,1,1
MA0130100,192082823,2019-10-13,13B,Simple Assault,Completed,1,1,0,0,Bar/Nightclub,Missing,0,October,Sunday,2:00am-2:59am,Suffolk County,Boston,Not Cleared,,1,1,1,0
