zip,city,state,latitude,longitude,timezone,dst
14837,Dundee,NY,42.502293,-76.9997,-5,1
79913,El Paso,TX,31.93728,-106.572393,-7,1
13328,Deansboro,NY,42.9843,-75.4224,-5,1
52801,Davenport,IA,41.522832,-90.57503,-6,1
31787,Smithville,GA,31.901066,-84.25037,-5,1
90047,Los Angeles,CA,33.958464,-118.30998,-8,1
64643,Hale,MO,39.610631,-93.35686,-6,1
33111,Miami,FL,25.558428,-80.458168,-5,1
55555,Young America,MN,44.805487,-93.766524,-6,1
65041,Hermann,MO,38.659798,-91.47293,-6,1
02347,Lakeville,MA,41.835094,-70.95973,-5,1
61606,Peoria,IL,40.699137,-89.60972,-6,1
83855,Potlatch,ID,46.95597,-116.91671,-8,1
50669,Reinbeck,IA,42.329448,-92.60686,-6,1
56228,Cosmos,MN,44.933861,-94.67563,-6,1
07109,Belleville,NJ,40.7935,-74.16144,-5,1
07423,Ho Ho Kus,NJ,41.001695,-74.10239,-5,1
48461,North Branch,MI,43.210744,-83.20549,-5,1
88102,Clovis,NM,34.628472,-103.391269,-7,1
45671,Rarden,OH,38.947693,-83.24361,-5,1
37760,Jefferson City,TN,36.109404,-83.48325,-5,1
99505,Fort Richardson,AK,61.261518,-149.66336,-9,1
24104,Huddleston,VA,37.107479,-79.53046,-5,1
48910,Lansing,MI,42.704435,-84.54915,-5,1
08402,Margate City,NJ,39.329416,-74.50661,-5,1
83671,Warren,ID,45.273532,-115.69194,-7,1
11203,Brooklyn,NY,40.649059,-73.93304,-5,1
13061,Erieville,NY,42.859332,-75.74261,-5,1
67256,Wichita,KS,37.693588,-97.480419,-6,1
67346,Grenola,KS,37.326384,-96.43368,-6,1
84408,Ogden,UT,41.195593,-111.948474,-7,1
61815,Bondville,IL,40.112616,-88.3708,-6,1
55932,Elgin,MN,44.135053,-92.28314,-6,1
86515,Window Rock,AZ,35.672842,-109.06495,-7,0
12424,East Jewett,NY,42.240343,-74.15932,-5,1
43013,Croton,OH,40.235446,-82.69054,-5,1
84784,Hildale,UT,37.004364,-112.978418,-7,1
22093,Ashburn,VA,39.085309,-77.645224,-5,1
56395,Saint Cloud,MN,45.52886,-94.593338,-6,1
82084,Tie Siding,WY,41.024827,-105.46188,-7,1
34655,New Port Richey,FL,28.209833,-82.66973,-5,1
36522,Citronelle,AL,31.0753,-88.2633,-6,1
07509,Paterson,NJ,41.011428,-74.304793,-5,1
17881,Trevorton,PA,40.780982,-76.67105,-5,1
48090,Warren,MI,42.672322,-82.903065,-5,1
44011,Avon,OH,41.450538,-82.02167,-5,1
28788,Webster,NC,35.328533,-83.233302,-5,1
88436,Sedan,NM,36.137255,-103.12311,-7,1
42637,Monticello,KY,36.843563,-84.841004,-5,1
14533,Piffard,NY,42.846509,-77.88795,-5,1
12422,Durham,NY,42.390291,-74.20164,-5,1
28470,South Brunswick,NC,33.9666,-78.3878,-5,1
19886,Wilmington,DE,39.564499,-75.597047,-5,1
15501,Somerset,PA,40.02847,-79.1105,-5,1
37205,Nashville,TN,36.113558,-86.86207,-6,1
24237,Dante,VA,37.001752,-82.28089,-5,1
31638,Morven,GA,30.935087,-83.50211,-5,1
38838,Dennis,MS,34.552421,-88.25935,-6,1
52776,West Liberty,IA,41.573818,-91.26586,-6,1
75701,Tyler,TX,32.325214,-95.29467,-6,1
80037,Commerce City,CO,39.80797,-104.407918,-7,1
03235,Franklin,NH,43.444456,-71.66034,-5,1
36254,Choccolocco,AL,33.657349,-85.699116,-6,1
14081,Irving,NY,42.573552,-79.09002,-5,1
49250,Jonesville,MI,42.018585,-84.64548,-5,1
54152,Nichols,WI,44.565437,-88.46717,-6,1
25156,Pinch,WV,38.401962,-81.461063,-5,1
98596,Winlock,WA,46.493247,-122.92262,-8,1
38139,Germantown,TN,35.087468,-89.7615,-6,1
35254,Birmingham,AL,33.544622,-86.929208,-6,1
75637,Clayton,TX,32.102729,-94.493543,-6,1
02840,Newport,RI,41.488002,-71.31262,-5,1
54990,Iola,WI,44.461926,-88.915027,-6,1
20590,Washington,DC,38.883962,-77.022098,-5,1
95917,Biggs,CA,39.413477,-121.71162,-8,1
22406,Fredericksburg,VA,38.387261,-77.54676,-5,1
24825,Crumpler,WV,37.421641,-81.34504,-5,1
85208,Mesa,AZ,33.393967,-111.64302,-7,0
52401,Cedar Rapids,IA,41.97545,-91.65912,-6,1
28070,Huntersville,NC,35.462187,-80.898668,-5,1
67523,Burdett,KS,38.200452,-99.54314,-6,1
80314,Boulder,CO,40.087835,-105.373507,-7,1
71638,Dermott,AR,33.525266,-91.47922,-6,1
00768,Yauco,PR,18.030715,-66.856181,-4,0
08647,Trenton,NJ,40.280531,-74.712018,-5,1
04961,North New Portland,ME,45.056328,-70.08652,-5,1
83657,Ola,ID,44.279564,-116.29949,-7,1
57370,Pukwana,SD,43.854809,-99.15712,-6,1
43014,Danville,OH,40.470806,-82.26422,-5,1
15043,Georgetown,PA,40.582316,-80.50182,-5,1
42411,Fredonia,KY,37.216778,-88.01438,-6,1
50150,Lovilia,IA,41.120845,-92.93572,-6,1
67757,Selden,KS,39.534756,-100.59954,-6,1
54206,Kossuth,WI,44.237283,-87.801108,-6,1
54862,Ojibwa,WI,45.766112,-91.13603,-6,1
60641,Chicago,IL,41.946431,-87.74576,-6,1
43666,Toledo,OH,41.678167,-83.497155,-5,1
82711,Alva,WY,44.706167,-104.45138,-7,1
93504,California City,CA,35.187133,-117.885359,-8,1
